
711	5	2.7408	1.1439	0.30%
710	4	2.7325	1.1405	-0.38%
709	3	2.743	1.1449	0.20%
708	2	2.7375	1.1426	-0.18%
707	1	2.7425	1.1446	-0.35%
706	5	2.7521	1.1486	0.20%
705	4	2.7465	1.1463	0.29%
704	3	2.7385	1.143	0.08%
703	2	2.7363	1.1421	0.48%
702	1	2.7231	1.1366	-0.22%
701	5	2.7292	1.1391	0.09%
700	4	2.7267	1.1381	-0.04%
699	3	2.7278	1.1385	-0.18%
698	2	2.7327	1.1406	0.37%
697	1	2.7227	1.1364	-0.03%
696	5	2.7235	1.1368	-0.56%
695	4	2.7387	1.1431	0.22%
694	3	2.7328	1.1406	-0.39%
693	2	2.7436	1.1451	0.31%
692	1	2.735	1.1415	-0.27%
691	5	2.7425	1.1446	-0.02%
690	4	2.7431	1.1449	-0.28%
689	3	2.7509	1.1481	-0.33%
688	2	2.76	1.1519	-0.51%
687	1	2.7741	1.1578	0.55%
686	5	2.7589	1.1515	0.09%
685	4	2.7565	1.1505	0.40%
684	3	2.7456	1.1459	-0.38%
683	2	2.7562	1.1503	-0.04%
682	1	2.7572	1.1507	-0.42%
681	5	2.7687	1.1555	0.27%
680	4	2.7612	1.1524	-0.35%
679	3	2.771	1.1565	-0.88%
678	2	2.7955	1.1667	1.28%
677	1	2.7601	1.152	-0.27%
676	5	2.7676	1.1551	0.31%
675	4	2.759	1.1515	-0.89%
674	3	2.7837	1.1618	0.09%
673	2	2.7813	1.1608	-0.10%
672	1	2.7841	1.1619	-0.46%
671	5	2.797	1.1673	0.14%
670	4	2.793	1.1656	-0.31%
669	3	2.8017	1.1692	0.29%
668	2	2.7935	1.1658	-0.58%
667	1	2.8099	1.1726	-0.09%
666	5	2.8125	1.1737	0.12%
665	4	2.809	1.1723	-0.37%
664	3	2.8195	1.1766	0.44%
663	2	2.8071	1.1715	-0.29%
662	1	2.8154	1.1749	0.89%
661	5	2.7905	1.1646	0.59%
660	4	2.7741	1.1578	-0.04%
659	3	2.7751	1.1582	-1.12%
658	2	2.8066	1.1713	1.06%
657	1	2.7771	1.159	0.50%
656	5	2.7632	1.1532	-0.10%
655	4	2.766	1.1544	0.03%
654	3	2.7652	1.1541	0.12%
653	2	2.762	1.1527	-0.30%
652	1	2.7704	1.1562	-0.36%
651	5	2.7803	1.1603	0.51%
650	4	2.7662	1.1544	0.90%
649	3	2.7414	1.1441	-0.07%
648	2	2.7434	1.145	-0.68%
647	1	2.7621	1.1527	-0.04%
646	5	2.7633	1.1532	0.52%
645	4	2.7491	1.1473	0.42%
644	3	2.7377	1.1426	0.40%
643	2	2.7267	1.138	-0.13%
642	1	2.7302	1.1395	-0.68%
641	5	2.749	1.1473	0.67%
640	4	2.7306	1.1397	-0.50%
639	3	2.7443	1.1453	-0.18%
638	2	2.7492	1.1474	0.07%
637	1	2.7472	1.1466	0.29%
636	5	2.7392	1.1432	-0.11%
635	4	2.7423	1.1445	0.85%
634	3	2.7192	1.1349	-0.58%
633	2	2.735	1.1415	0.04%
632	1	2.7339	1.141	0.21%
631	5	2.7283	1.1387	0.69%
630	4	2.7097	1.1309	-0.02%
629	3	2.7103	1.1312	0.19%
628	2	2.7052	1.1291	0.20%
627	1	2.6998	1.1268	0.93%
626	5	2.675	1.1165	-0.46%
625	4	2.6874	1.1217	0.10%
624	3	2.6846	1.1205	0.47%
623	2	2.672	1.1153	0.62%
622	1	2.6556	1.1084	-1.47%
621	5	2.6951	1.1248	-0.11%
620	4	2.6982	1.1261	0.03%
619	3	2.6974	1.1258	-0.13%
618	2	2.7008	1.1272	-0.56%
617	1	2.7159	1.1335	-0.46%
616	5	2.7285	1.1387	-0.70%
615	4	2.7477	1.1467	-0.33%
614	3	2.7569	1.1505	-0.22%
613	2	2.7629	1.153	-0.49%
612	1	2.7767	1.1587	0.05%
611	5	2.7754	1.1581	0.13%
610	4	2.7719	1.1567	0.60%
609	3	2.7554	1.1498	-0.08%
608	2	2.7576	1.1507	-0.09%
607	1	2.7602	1.1518	-0.22%
606	5	2.7663	1.1544	-0.30%
605	4	2.7746	1.1578	-0.56%
604	3	2.7901	1.1643	0.32%
603	2	2.7812	1.1606	-0.18%
602	1	2.7863	1.1626	-0.31%
601	5	2.7949	1.1662	-1.05%
600	4	2.8246	1.1785	-0.37%
599	3	2.8351	1.1829	0.19%
598	2	2.8296	1.1806	0.47%
597	1	2.8164	1.1751	1.33%
596	5	2.7793	1.1597	-0.30%
595	4	2.7876	1.1632	0.00%
594	3	2.7877	1.1632	-0.48%
593	5	2.8012	1.1688	0.21%
592	4	2.7953	1.1663	0.45%
591	3	2.7829	1.1612	-1.02%
590	2	2.8117	1.1731	0.50%
589	1	2.7978	1.1674	0.26%
588	5	2.7906	1.1644	-0.19%
587	4	2.7959	1.1666	0.78%
586	3	2.7742	1.1576	0.33%
585	2	2.7651	1.1538	0.17%
584	1	2.7604	1.1518	0.28%
583	5	2.7526	1.1485	0.44%
582	4	2.7405	1.1435	0.13%
581	3	2.737	1.1421	-0.48%
580	2	2.7502	1.1476	-0.11%
579	1	2.7531	1.1488	-0.12%
578	5	2.7565	1.1502	-0.14%
577	4	2.7604	1.1518	-1.47%
576	3	2.8016	1.1689	-0.21%
575	2	2.8074	1.1713	-0.88%
574	5	2.8323	1.1816	0.30%
573	4	2.8237	1.178	0.20%
572	3	2.8182	1.1758	-0.44%
571	2	2.8306	1.1809	-0.10%
570	1	2.8333	1.182	-0.62%
569	5	2.851	1.1894	-0.05%
568	4	2.8523	1.1899	-0.09%
567	3	2.8549	1.191	-0.13%
566	2	2.8586	1.1925	-0.27%
565	1	2.8664	1.1957	0.11%
564	5	2.8633	1.1945	-0.03%
563	4	2.8642	1.1948	0.80%
562	3	2.8415	1.1854	0.92%
561	2	2.8157	1.1747	0.15%
560	1	2.8115	1.1729	-0.54%
559	5	2.8267	1.1792	0.98%
558	4	2.7994	1.1679	-0.15%
557	3	2.8035	1.1696	1.01%
556	5	2.7755	1.158	-0.64%
555	4	2.7936	1.1655	-0.05%
554	3	2.7949	1.166	-0.18%
553	2	2.7998	1.168	-0.11%
552	1	2.803	1.1694	0.96%
551	5	2.7764	1.1583	-0.12%
550	4	2.7797	1.1597	0.00%
549	3	2.7797	1.1597	0.90%
548	2	2.755	1.1494	-0.47%
547	1	2.7682	1.1549	0.52%
546	5	2.7539	1.1489	-0.08%
545	4	2.7561	1.1498	1.60%
544	3	2.7127	1.1318	0.07%
543	2	2.7108	1.131	-0.55%
542	1	2.7258	1.1372	0.88%
541	5	2.7021	1.1274	-0.65%
540	4	2.7198	1.1348	-0.57%
539	3	2.7354	1.1412	-0.57%
538	2	2.7511	1.1478	-0.42%
537	1	2.7627	1.1525	0.11%
536	5	2.7597	1.1513	-0.76%
535	4	2.7808	1.1601	0.13%
534	3	2.7773	1.1586	-1.35%
533	2	2.8153	1.1744	0.42%
532	1	2.8034	1.1694	0.34%
531	5	2.7938	1.1655	1.24%
530	4	2.7597	1.1513	0.22%
529	3	2.7537	1.1488	0.01%
528	2	2.7533	1.1486	0.02%
527	1	2.7529	1.1484	-0.09%
526	5	2.7554	1.1495	0.30%
525	4	2.7472	1.1461	0.56%
524	3	2.7319	1.1397	-0.24%
523	2	2.7386	1.1425	-0.21%
522	1	2.7444	1.1449	0.67%
521	5	2.7262	1.1373	-1.26%
520	4	2.761	1.1518	0.71%
519	3	2.7415	1.1436	0.07%
518	2	2.7395	1.1428	0.87%
517	1	2.7158	1.133	0.93%
516	5	2.6909	1.1226	1.14%
515	4	2.6605	1.11	-0.68%
514	3	2.6787	1.1176	-0.66%
513	2	2.6965	1.125	-0.16%
512	1	2.7009	1.1267	0.46%
511	5	2.6886	1.1216	0.38%
510	4	2.6783	1.1174	-1.11%
509	3	2.7084	1.1299	-0.42%
508	2	2.7198	1.1346	0.62%
507	1	2.7031	1.1277	0.64%
506	5	2.686	1.1205	-0.20%
505	4	2.6914	1.1228	0.09%
504	3	2.6889	1.1218	0.36%
503	2	2.6792	1.1177	0.84%
502	1	2.6569	1.1084	0.22%
501	5	2.651	1.106	0.21%
500	4	2.6455	1.1037	-0.05%
499	3	2.6468	1.1042	0.46%
498	2	2.6348	1.0992	-0.10%
497	6	2.6374	1.1003	0.00%
496	5	2.6374	1.1003	0.35%
495	4	2.6282	1.0965	0.41%
494	3	2.6175	1.0921	0.09%
493	2	2.6151	1.0911	0.10%
492	1	2.6125	1.0899	0.51%
491	5	2.5992	1.0844	0.03%
490	4	2.5985	1.0841	-0.37%
489	3	2.6081	1.0881	-0.43%
488	2	2.6194	1.0928	-0.26%
487	1	2.6263	1.0957	0.25%
486	5	2.6198	1.093	-0.35%
485	4	2.629	1.0968	-1.10%
484	3	2.6582	1.1089	0.23%
483	2	2.6522	1.1064	0.13%
482	1	2.6489	1.105	-0.56%
481	5	2.6639	1.1112	-0.75%
480	4	2.6839	1.1196	1.15%
479	3	2.6533	1.1068	0.28%
478	2	2.6458	1.1037	-0.12%
477	1	2.649	1.1051	-0.12%
476	5	2.6522	1.1064	-0.08%
475	4	2.6544	1.1073	-0.89%
474	3	2.6781	1.1171	-0.31%
473	2	2.6863	1.1205	-0.68%
472	1	2.7049	1.1282	0.47%
471	5	2.6922	1.123	-0.40%
470	4	2.7031	1.1275	-0.95%
469	3	2.7291	1.1383	0.21%
468	2	2.7233	1.1359	-0.11%
467	1	2.7264	1.1372	0.74%
466	5	2.7065	1.1289	-0.99%
465	4	2.7336	1.1402	0.07%
464	3	2.7317	1.1394	-0.12%
463	2	2.735	1.1407	0.60%
462	1	2.7189	1.134	-2.31%
461	5	2.7833	1.1608	-1.46%
460	4	2.8244	1.1778	-2.02%
459	3	2.8825	1.202	2.74%
458	2	2.8055	1.17	-0.24%
457	1	2.8123	1.1728	-0.55%
456	5	2.8278	1.1792	-0.28%
455	4	2.8358	1.1826	0.40%
454	3	2.8244	1.1778	0.87%
453	2	2.8	1.1677	0.42%
452	1	2.7884	1.1628	0.50%
451	5	2.7746	1.1571	-0.04%
450	4	2.7758	1.1576	-0.39%
449	3	2.7866	1.1621	0.52%
448	2	2.7721	1.1561	0.16%
447	1	2.7678	1.1543	0.48%
446	5	2.7547	1.1488	-0.17%
445	4	2.7593	1.1507	0.51%
444	3	2.7453	1.1449	-0.12%
443	2	2.7486	1.1463	0.70%
442	1	2.7296	1.1384	0.08%
441	5	2.7275	1.1375	-0.14%
440	4	2.7313	1.1391	0.19%
439	3	2.726	1.1369	-0.25%
438	2	2.7327	1.1397	0.01%
437	1	2.7324	1.1395	-4.09%
436	5	2.849	1.188	0.14%
435	4	2.845	1.1863	-0.13%
434	3	2.8487	1.1878	-0.89%
433	2	2.8744	1.1985	0.12%
432	1	2.871	1.1971	0.12%
431	5	2.8677	1.1957	-0.01%
430	4	2.868	1.1958	0.86%
429	3	2.8435	1.1856	0.31%
428	2	2.8348	1.182	-0.10%
427	1	2.8375	1.1832	-0.40%
426	3	2.849	1.1879	-0.42%
425	2	2.8609	1.1929	-0.08%
424	1	2.8634	1.1939	-0.45%
423	5	2.8762	1.1992	-0.53%
422	4	2.8914	1.2055	-0.06%
421	3	2.8931	1.2062	1.08%
420	2	2.8621	1.1933	0.34%
419	1	2.8523	1.1893	1.02%
418	5	2.8236	1.1773	0.33%
417	4	2.8143	1.1735	-0.59%
416	3	2.8311	1.1805	-0.29%
415	2	2.8393	1.1839	0.16%
414	1	2.8349	1.182	-0.45%
413	5	2.8478	1.1873	-0.02%
412	4	2.8483	1.1876	-0.63%
411	3	2.8664	1.1951	-0.04%
410	2	2.8675	1.1955	0.16%
409	1	2.863	1.1937	-0.64%
408	5	2.8814	1.2013	-0.23%
407	4	2.8881	1.2041	0.73%
406	3	2.8673	1.1954	-0.42%
405	2	2.8795	1.2005	0.21%
404	1	2.8736	1.198	0.18%
403	5	2.8684	1.1959	-0.35%
402	4	2.8784	1.2	-0.58%
401	3	2.8951	1.207	0.23%
400	2	2.8885	1.2042	0.87%
399	1	2.8637	1.1939	-1.93%
398	5	2.9202	1.2174	1.06%
397	4	2.8896	1.2047	-0.98%
396	3	2.9182	1.2165	0.62%
395	2	2.9002	1.2091	0.66%
394	1	2.8812	1.2011	0.81%
393	5	2.8581	1.1915	-0.63%
392	4	2.8763	1.1991	1.41%
391	3	2.8362	1.1824	-0.12%
390	2	2.8395	1.1838	0.24%
389	1	2.8327	1.181	-0.60%
388	5	2.8497	1.1881	0.58%
387	4	2.8333	1.1812	-0.88%
386	3	2.8584	1.1917	-0.40%
385	2	2.8698	1.1964	0.25%
384	1	2.8627	1.1934	-0.25%
383	5	2.87	1.1964	-0.14%
382	4	2.874	1.1981	-0.67%
381	3	2.8933	1.2061	-1.02%
380	2	2.9232	1.2185	-0.20%
379	1	2.929	1.221	0.45%
378	5	2.9158	1.2155	-0.89%
377	4	2.942	1.2264	0.15%
376	3	2.9375	1.2245	1.75%
375	2	2.8871	1.2035	-0.40%
374	1	2.8989	1.2084	1.36%
373	5	2.8599	1.1922	1.51%
372	4	2.8173	1.1745	-0.52%
371	3	2.8319	1.1806	0.45%
370	2	2.8191	1.1753	-0.38%
369	1	2.8298	1.1797	0.56%
368	5	2.8141	1.1732	4.56%
367	4	2.6914	1.1222	0.13%
366	3	2.688	1.1208	-1.13%
365	2	2.7186	1.1335	-0.13%
364	1	2.7222	1.135	-0.25%
363	5	2.7291	1.1378	-1.79%
362	4	2.7788	1.1585	1.80%
361	3	2.7296	1.138	0.47%
360	2	2.7168	1.1327	-0.10%
359	1	2.7194	1.1338	2.52%
358	3	2.6526	1.1061	0.83%
357	2	2.6308	1.097	0.16%
356	1	2.6268	1.0953	1.97%
355	5	2.576	1.0742	-0.22%
354	4	2.5817	1.0766	-0.12%
353	3	2.5849	1.0779	0.53%
352	2	2.5712	1.0722	0.61%
351	1	2.5557	1.0657	-1.05%
350	5	2.5827	1.0769	-0.66%
349	4	2.5999	1.0841	0.48%
348	3	2.5876	1.079	-1.49%
347	2	2.6268	1.0953	-0.62%
346	1	2.6433	1.1021	-0.12%
345	5	2.6464	1.1034	-0.08%
344	4	2.6486	1.1043	-1.22%
343	3	2.6812	1.1178	0.01%
342	2	2.6809	1.1177	-0.52%
341	1	2.695	1.1235	0.69%
340	5	2.6766	1.1159	0.40%
339	4	2.6659	1.1114	-0.22%
338	3	2.6719	1.1139	0.38%
337	2	2.6617	1.1097	-0.78%
336	1	2.6826	1.1183	-0.04%
335	5	2.6837	1.1188	0.24%
334	4	2.6773	1.1161	-0.28%
333	3	2.6849	1.1193	-0.86%
332	2	2.7083	1.129	1.62%
331	5	2.6651	1.111	1.80%
330	4	2.6179	1.0914	0.33%
329	3	2.6092	1.0878	0.86%
328	2	2.587	1.0786	-0.24%
327	1	2.5935	1.0812	-0.51%
326	5	2.6068	1.0867	-0.90%
325	4	2.6304	1.0965	1.05%
324	3	2.603	1.0851	0.05%
323	2	2.6017	1.0846	0.62%
322	1	2.5859	1.0779	0.51%
321	5	2.5729	1.0725	-0.40%
320	4	2.5833	1.0768	-0.68%
319	3	2.601	1.0842	-0.58%
318	2	2.6161	1.0905	0.13%
317	1	2.6128	1.089	1.41%
316	5	2.5764	1.0739	0.64%
315	4	2.5599	1.067	-0.14%
314	3	2.5634	1.0685	0.21%
313	2	2.558	1.0663	-0.60%
312	5	2.5736	1.0727	0.49%
311	4	2.561	1.0674	-1.13%
310	3	2.5902	1.0795	1.41%
